filename	event_label	onset	offset
b0RFKhbpFJA_30000	/m/03m9d0z	0.000	10.000
b0RFKhbpFJA_30000	/m/05zppz	4.753	5.720
b0RFKhbpFJA_30000	/m/07pjwq1	0.000	10.000
b0RFKhbpFJA_30000	/m/07qjznt	6.899	7.010
b0RFKhbpFJA_30000	/t/dd00092	8.534	9.156
NQNTnl0zaqU_70000	/m/07rdhzs	0.000	0.103
NQNTnl0zaqU_70000	/m/07rdhzs	0.233	0.443
NQNTnl0zaqU_70000	/m/07rdhzs	0.542	0.785
NQNTnl0zaqU_70000	/m/07rdhzs	0.940	1.208
NQNTnl0zaqU_70000	/m/024dl	1.200	2.183
NQNTnl0zaqU_70000	/m/0_ksk	1.947	4.246
NQNTnl0zaqU_70000	/m/01b82r	3.539	5.464
NQNTnl0zaqU_70000	/m/0284vy3	4.944	6.951
NQNTnl0zaqU_70000	/m/0c1dj	6.975	7.869
NQNTnl0zaqU_70000	/m/0c1dj	7.999	8.933
NQNTnl0zaqU_70000	/m/0c1dj	9.063	10.000
4PPmyY_-YrA_30000	/m/03wvsk	0.000	10.000
4PPmyY_-YrA_30000	/m/07qjznt	7.983	8.161
LvNUyQ3xuAQ_0	/m/015jpf	0.596	5.677